# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 2203647     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Hebrew word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
594	אֲנָךְ	ʼănâk	an-awk'	heb	Noun Masculine	according to most a plumb-line, and to others a hook; plumb-line; probably from an unused root meaning to be narrow
595	אָנֹכִי	ʼânôkîy	aw-no-kee'	x-pn		I; I, me, [idiom] which.; sometimes, ; a primitive pronoun
596	אָנַן	ʼânan	aw-nan'	heb	Verb	to mourn, i.e. complain; complain.; a primitive root
597	אָנַס	ʼânaç	aw-nas'	heb	Verb	to insist; compel.
598	אֲנַס	ʼănaç	an-as'	arc	Verb	figuratively, to distress; trouble.; (Aramaic) corresponding to <a href='/Strongs/strongs-h597' onclick='return ABMM("/Strongs","/strongs-h597");'>h597</a> (אָנַס)
599	אָנַף	ʼânaph	aw-naf'	heb	Verb	to breathe hard, i.e. be enraged; be angry (displeased).; a primitive root
600	אֲנַף	ʼănaph	an-af'	arc	Noun Masculine	the face; face, visage.; (Aramaic) corresponding to <a href='/Strongs/strongs-h639' onclick='return ABMM("/Strongs","/strongs-h639");'>h639</a> (אַף) (only in the plural as a singular)
601	אֲנָפָה	ʼănâphâh	an-aw-faw'	heb	Noun Feminine	an unclean bird, perhaps the parrot (from its irascibility); heron.; from <a href='/Strongs/strongs-h599' onclick='return ABMM("/Strongs","/strongs-h599");'>h599</a> (אָנַף)
602	אָנַק	ʼânaq	aw-nak'	heb	Verb	to shriek; cry, groan.; a primitive root
603	אֲנָקָה	ʼănâqâh	an-aw-kaw'	heb	Noun Feminine	shrieking; crying out, groaning, sighing.; from <a href='/Strongs/strongs-h602' onclick='return ABMM("/Strongs","/strongs-h602");'>h602</a> (אָנַק)
604	אֲנָקָה	ʼănâqâh	an-aw-kaw'	heb	Noun Feminine	some kind of lizard, probably the gecko (from its wail); ferret.; the same as <a href='/Strongs/strongs-h603' onclick='return ABMM("/Strongs","/strongs-h603");'>h603</a> (אֲנָקָה)
605	אָנַשׁ	ʼânash	aw-nash'	heb	Verb	to be frail, feeble, or (figuratively) melancholy; desperate(-ly wicked), incurable, sick, woeful.; a primitive root
606	אֱנָשׁ	ʼĕnâsh	en-awsh'	arc	Noun Masculine	a man; man, [phrase] whosoever.; (Aramaic) or אֱנַשׁ; (Aramaic), corresponding to <a href='/Strongs/strongs-h582' onclick='return ABMM("/Strongs","/strongs-h582");'>h582</a> (אֱנוֹשׁ)
607	אַנְתָּה	ʼantâh	an-taw'	arc		thou; as for thee, thou.; (Aramaic) corresponding to <a href='/Strongs/strongs-h859' onclick='return ABMM("/Strongs","/strongs-h859");'>h859</a> (אַתָּה)
608	אַנְתּוּן	ʼantûwn	an-toon'	arc		ye; ye.; (Aramaic) plural of <a href='/Strongs/strongs-h607' onclick='return ABMM("/Strongs","/strongs-h607");'>h607</a> (אַנְתָּה)
609	אָסָא	ʼÂçâʼ	aw-saw'	x-pn	Proper Name Masculine	Asa, the name of a king and of a Levite; Asa.; of uncertain derivation
610	אָסוּךְ	ʼâçûwk	aw-sook'	heb	Noun Masculine	anointed, i.e. an oil-flask; pot.; from <a href='/Strongs/strongs-h5480' onclick='return ABMM("/Strongs","/strongs-h5480");'>h5480</a> (סוּךְ)
611	אָסוֹן	ʼâçôwn	aws-sone'	heb	Noun Masculine	hurt; mischief.; of uncertain derivation
612	אֵסוּר	ʼêçûwr	ay-soor'	heb	Noun Masculine	a bond (especially manacles of a prisoner); band, [phrase] prison.; from <a href='/Strongs/strongs-h631' onclick='return ABMM("/Strongs","/strongs-h631");'>h631</a> (אָסַר)
613	אֱסוּר	ʼĕçûwr	es-oor'	arc	Noun Masculine	{a bond (especially manacles of a prisoner)}; band, imprisonment.; (Aramaic) corresponding to <a href='/Strongs/strongs-h612' onclick='return ABMM("/Strongs","/strongs-h612");'>h612</a> (אֵסוּר)
614	אָסִיף	ʼâçîyph	aw-seef'	heb	Noun Masculine	gathered, i.e. (abstractly) a gathering in of crops; ingathering.; or אָסִף; from <a href='/Strongs/strongs-h622' onclick='return ABMM("/Strongs","/strongs-h622");'>h622</a> (אָסַף)
615	אָסִיר	ʼâçîyr	aw-sere'	heb	Noun Masculine	bound, i.e. a captive; (those which are) bound, prisoner.; from <a href='/Strongs/strongs-h631' onclick='return ABMM("/Strongs","/strongs-h631");'>h631</a> (אָסַר)
616	אַסִּיר	ʼaççîyr	as-sere'	heb	Noun Masculine	{bound, i.e. a captive}; prisoner.; for <a href='/Strongs/strongs-h615' onclick='return ABMM("/Strongs","/strongs-h615");'>h615</a> (אָסִיר)
617	אַסִּיר	ʼAççîyr	as-sere'	x-pn	Proper Name Masculine	Assir, the name of two Israelites; Assir.; the same as <a href='/Strongs/strongs-h616' onclick='return ABMM("/Strongs","/strongs-h616");'>h616</a> (אַסִּיר); prisoner
618	אָסָם	ʼâçâm	aw-sawm'	heb	Noun Masculine	a storehouse (only in the plural); barn, storehouse.; from an unused root meaning to heap together
619	אַסְנָה	ʼAçnâh	as-naw'	x-pn	Proper Name Masculine	Asnah, one of the Nethinim; Asnah.; of uncertain derivation
620	אׇסְנַפַּר	ʼOçnappar	os-nap-par'	x-pn	Proper Name Masculine	Osnappar, an Assyrian king; Asnapper.; of foreign derivation
621	אָסְנַת	ʼÂçᵉnath	aw-se-nath'	x-pn	Proper Name Feminine	Asenath, the wife of Joseph; Asenath.; of Egyptian derivation
622	אָסַף	ʼâçaph	aw-saf'	heb	Verb	to gather for any purpose; hence, to receive, take away, i.e. remove (destroy, leave behind, put up, restore, etc.); assemble, bring, consume, destroy, felch, gather (in, together, up again), [idiom] generally, get (him), lose, put all together, receive, recover (another from leprosy), (be) rereward, [idiom] surely, take (away, into, up), [idiom] utterly, withdraw.; a primitive root
623	אָסָף	ʼÂçâph	aw-sawf'	x-pn	Proper Name Masculine	Asaph, the name of three Israelites, and of the family of the first; Asaph.; from <a href='/Strongs/strongs-h622' onclick='return ABMM("/Strongs","/strongs-h622");'>h622</a> (אָסַף); collector
624	אָסֻף	ʼâçuph	aw-soof'	heb	Noun Masculine	collected (only in the plural), i.e. a collection of offerings); threshold, Asuppim.; passive participle of <a href='/Strongs/strongs-h622' onclick='return ABMM("/Strongs","/strongs-h622");'>h622</a> (אָסַף)
625	אֹסֶף	ʼôçeph	o'-sef	heb	Noun Masculine	a collection (of fruits); gathering.; from <a href='/Strongs/strongs-h622' onclick='return ABMM("/Strongs","/strongs-h622");'>h622</a> (אָסַף)
626	אֲסֵפָה	ʼăçêphâh	as-ay-faw'	heb	Noun Feminine	a collection of people (only adverbial); [idiom] together.; from <a href='/Strongs/strongs-h622' onclick='return ABMM("/Strongs","/strongs-h622");'>h622</a> (אָסַף)
627	אֲסֻפָּה	ʼăçuppâh	as-up-paw'	heb	Noun Feminine	a collection of (learned) men (only in the plural); assembly.; feminine of <a href='/Strongs/strongs-h624' onclick='return ABMM("/Strongs","/strongs-h624");'>h624</a> (אָסֻף)
628	אֲסְפְּסֻף	ʼăçpᵉçuph	as-pes-oof'	heb	Noun Masculine	gathered up together, i.e. a promiscuous assemblage (of people); mixt multitude.; by reduplication from <a href='/Strongs/strongs-h624' onclick='return ABMM("/Strongs","/strongs-h624");'>h624</a> (אָסֻף)
629	אׇסְפַּרְנָא	ʼoçparnâʼ	os-par-naw'	arc	Adverb	diligently; fast, forthwith, speed(-ily).; (Aramaic) of Persian derivation
630	אַסְפָּתָא	ʼAçpâthâʼ	as-paw-thaw'	x-pn	Proper Name Masculine	Aspatha, a son of Haman; Aspatha.; of Persian derivation
631	אָסַר	ʼâçar	aw-sar'	heb	Verb	to yoke or hitch; by analogy, to fasten in any sense, to join battle; bind, fast, gird, harness, hold, keep, make ready, order, prepare, prison(-er), put in bonds, set in array, tie.; a primitive root
632	אֱסָר	ʼĕçâr	es-sawr'	heb	Noun Masculine	an obligation or vow (of abstinence); binding, bond.; or אִסָּר; from <a href='/Strongs/strongs-h631' onclick='return ABMM("/Strongs","/strongs-h631");'>h631</a> (אָסַר)
633	אֱסָר	ʼĕçâr	es-sawr'	arc	Noun Masculine	an interdict; decree.; (Aramaic) corresponding to <a href='/Strongs/strongs-h632' onclick='return ABMM("/Strongs","/strongs-h632");'>h632</a> (אֱסָר) in a legal sense
634	אֵסַר־חַדּוֹן	ʼÊçar-Chaddôwn	ay-sar' Chad-dohn'	x-pn	Proper Name Masculine	Esar-chaddon, an Assyrian king; Esar-haddon.; of foreign derivation
635	אֶסְתֵּר	ʼEçtêr	es-tare'	x-pn	Proper Name Feminine	Ester, the Jewish heroine; Esther.; of Persian derivation
636	אָע	ʼâʻ	aw	arc	Noun Masculine	a tree or wood; timber, wood.; (Aramaic) corresponding to <a href='/Strongs/strongs-h6086' onclick='return ABMM("/Strongs","/strongs-h6086");'>h6086</a> (עֵץ)
637	אַף	ʼaph	af	heb		meaning accession (used as an adverb or conjunction); also or yea; adversatively though; also, [phrase] although, and (furthermore, yet), but, even, [phrase] how much less (more, rather than), moreover, with, yea.; a primitive particle
638	אַף	ʼaph	af	arc	Conjunction	{meaning accession (used as an adverb or conjunction); also or yea; adversatively though}; also.; (Aramaic) corresponding to <a href='/Strongs/strongs-h637' onclick='return ABMM("/Strongs","/strongs-h637");'>h637</a> (אַף)
639	אַף	ʼaph	af	heb	Noun Masculine	properly, the nose or nostril; hence, the face, and occasionally a person; also (from the rapid breathing in passion) ire; anger(-gry), [phrase] before, countenance, face, [phrase] forebearing, forehead, [phrase] (long-) suffering, nose, nostril, snout, [idiom] worthy, wrath.; from <a href='/Strongs/strongs-h599' onclick='return ABMM("/Strongs","/strongs-h599");'>h599</a> (אָנַף)
640	אָפַד	ʼâphad	aw-fad'	heb	Verb	to gird on (the ephod); bind, gird.; a primitive root (rather a denominative from <a href='/Strongs/strongs-h646' onclick='return ABMM("/Strongs","/strongs-h646");'>h646</a> (אֵפוֹד))
641	אֵפֹד	ʼÊphôd	ay-fode'	x-pn	Proper Name Masculine	Ephod, an Israelite; Ephod.; the same as <a href='/Strongs/strongs-h646' onclick='return ABMM("/Strongs","/strongs-h646");'>h646</a> (אֵפוֹד) shortened
642	אֵפֻדָּה	ʼêphuddâh	ay-food-daw'	heb	Noun Feminine	a girding on (of the ephod); hence, generally, a plating (of metal); ephod, ornament.; feminine of <a href='/Strongs/strongs-h646' onclick='return ABMM("/Strongs","/strongs-h646");'>h646</a> (אֵפוֹד)
643	אַפֶּדֶן	ʼappeden	ap-peh'-den	heb	Noun	a pavilion or palace-tent; palace.; apparently of foreign derivation
644	אָפָה	ʼâphâh	aw-faw'	heb	Verb	to cook, especially to bake; bake(-r, (-meats)).; a primitive root
645	אֵפוֹ	ʼêphôw	ay-fo'	heb		strictly a demonstrative particle, here; but used of time, now or then; here, now, where?; or אֵפוֹא; from <a href='/Strongs/strongs-h6311' onclick='return ABMM("/Strongs","/strongs-h6311");'>h6311</a> (פֹּה)
646	אֵפוֹד	ʼêphôwd	ay-fode'	heb	Noun Masculine	a girdle; specifically the ephod or highpriest's shoulder-piece; also generally, an image; ephod.; rarely אֵפֹד; probably of foreign derivation
647	אֲפִיחַ	ʼĂphîyach	af-ee'-akh	x-pn	Proper Name Masculine	Aphiach, an Israelite; Aphiah.; perhaps from <a href='/Strongs/strongs-h6315' onclick='return ABMM("/Strongs","/strongs-h6315");'>h6315</a> (פּוּחַ); breeze
648	אָפִיל	ʼâphîyl	aw-feel'	heb	Adjective	unripe; not grown up.; from the same as <a href='/Strongs/strongs-h651' onclick='return ABMM("/Strongs","/strongs-h651");'>h651</a> (אָפֵל) (in the sense of weakness)
649	אַפַּיִם	ʼAppayim	ap-pah'-yim	x-pn	Proper Name Masculine	Appajim, an Israelite; Appaim.; dual of <a href='/Strongs/strongs-h639' onclick='return ABMM("/Strongs","/strongs-h639");'>h639</a> (אַף); two nostrils
650	אָפִיק	ʼâphîyq	aw-feek'	heb	Noun Masculine	properly, containing, i.e. a tube; also a bed or valley of astream; also a strong thing or a hero; brook, channel, mighty, river, [phrase] scale, stream, strong piece.; from <a href='/Strongs/strongs-h622' onclick='return ABMM("/Strongs","/strongs-h622");'>h622</a> (אָסַף)
651	אָפֵל	ʼâphêl	aw-fale'	heb	Adjective	dusky; very dark.; from an unused root meaning to set as the sun
652	אֹפֶל	ʼôphel	o'fel	heb	Noun Masculine	dusk; darkness, obscurity, privily.; from the same as <a href='/Strongs/strongs-h651' onclick='return ABMM("/Strongs","/strongs-h651");'>h651</a> (אָפֵל)
653	אֲפֵלָה	ʼăphêlâh	af-ay-law'	heb	Noun Feminine	duskiness, figuratively, misfortune; concrete, concealment; dark, darkness, gloominess, [idiom] thick.; feminine of <a href='/Strongs/strongs-h651' onclick='return ABMM("/Strongs","/strongs-h651");'>h651</a> (אָפֵל)
654	אֶפְלָל	ʼEphlâl	ef-lawl'	x-pn	Proper Name Masculine	Ephlal, an Israelite; Ephlal.; from <a href='/Strongs/strongs-h6419' onclick='return ABMM("/Strongs","/strongs-h6419");'>h6419</a> (פָּלַל); judge
655	אֹפֶן	ʼôphen	o'-fen	heb	Noun Masculine	a turn, i.e. a season; [phrase] fitly.; from an unused root meaning to revolve
656	אָפֵס	ʼâphêç	aw-face'	heb	Verb	to disappear, i.e. cease; be clean gone (at an end, brought to nought), fail.; a primitive root
657	אֶפֶס	ʼepheç	eh'-fes	heb	Noun Masculine	cessation, i.e. an end (especially of the earth); often used adverb, no further; also the ankle (in the dual), as being the extremity of the leg or foot; ankle, but (only), end, howbeit, less than nothing, nevertheless (where), no, none (beside), not (any, -withstanding), thing of nought, save(-ing), there, uttermost part, want, without (cause).; from <a href='/Strongs/strongs-h656' onclick='return ABMM("/Strongs","/strongs-h656");'>h656</a> (אָפֵס); (sometimes like <a href='/Strongs/strongs-h6466' onclick='return ABMM("/Strongs","/strongs-h6466");'>h6466</a> (פָּעַל))
658	אֶפֶס דַּמִּים	ʼEpheç Dammîym	eh'-fes dam-meem'	x-pn	Proper Name Location	Ephes-Dammim, a place in Palestine; Ephes-dammim.; from <a href='/Strongs/strongs-h657' onclick='return ABMM("/Strongs","/strongs-h657");'>h657</a> (אֶפֶס) and the plural of <a href='/Strongs/strongs-h1818' onclick='return ABMM("/Strongs","/strongs-h1818");'>h1818</a> (דָּם); boundary of blood-drops
659	אֵפַע	ʼêphaʻ	eh'-fah	heb	Adjective	properly, a breath, i.e. nothing; of nought.; from an unused root probably meaning to breathe
660	אֶפְעֶה	ʼephʻeh	ef-eh'	heb	Noun Masculine	an asp or other venomous serpent; viper.; from <a href='/Strongs/strongs-h659' onclick='return ABMM("/Strongs","/strongs-h659");'>h659</a> (אֵפַע) (in the sense of hissing)
661	אָפַף	ʼâphaph	aw-faf'	heb	Verb	to surround; compass.; a primitive root
662	אָפַק	ʼâphaq	aw-fak'	heb	Verb	to contain, i.e. (reflex.) abstain; force (oneself), restrain.; a primitive root
663	אֲפֵק	ʼĂphêq	af-ake'	x-pn	Proper Name Location	Aphek (or Aphik), the name of three places in Palestine; Aphek, Aphik.; or אֲפִיק; from <a href='/Strongs/strongs-h662' onclick='return ABMM("/Strongs","/strongs-h662");'>h662</a> (אָפַק) (in the sense of strength); fortress
664	אֲפֵקָה	ʼĂphêqâh	af-ay-kaw'	x-pn	Proper Name Location	Aphekah, a place in Palestine; Aphekah.; feminine of <a href='/Strongs/strongs-h663' onclick='return ABMM("/Strongs","/strongs-h663");'>h663</a> (אֲפֵק); fortress
665	אֵפֶר	ʼêpher	ay'-fer	heb	Noun Masculine	ashes; ashes.; from an unused root meaning to bestrew
666	אֲפֵר	ʼăphêr	af-ayr'	heb	Noun Masculine	a turban; ashes.; from the same as <a href='/Strongs/strongs-h665' onclick='return ABMM("/Strongs","/strongs-h665");'>h665</a> (אֵפֶר) (in the sense of covering)
667	אֶפְרֹחַ	ʼephrôach	ef-ro'-akh	heb	Noun Masculine	the brood of a bird; young (one).; from <a href='/Strongs/strongs-h6524' onclick='return ABMM("/Strongs","/strongs-h6524");'>h6524</a> (פָּרַח) (in the sense of bursting the shell)
668	אַפִּרְיוֹן	ʼappiryôwn	ap-pir-yone'	heb	Noun Masculine	a palanquin; chariot.; probably of Egyptian derivation
669	אֶפְרַיִם	ʼEphrayim	ef-rah'-yim	x-pn	Proper Name Masculine	Ephrajim, a son of Joseph; also the tribe descended from him, and its territory; Ephraim, Ephraimites.; dual of masculine form of <a href='/Strongs/strongs-h672' onclick='return ABMM("/Strongs","/strongs-h672");'>h672</a> (אֶפְרָת); double fruit
670	אֲפָרְסַי	ʼĂphârᵉçay	af-aw-re-sah'ee	x-pn	Proper Name Masculine	an Apherasite or inhabitant of an unknown region of Assyria; Apharsite.; (Aramaic) of foreign origin (only in the plural)
671	אֲפַרְסְכַי	ʼĂpharçᵉkay	af-ar-sek-ah'ee	x-pn	Proper Name Masculine	an Apharsekite or Apharsathkite, an unknown Assyrian tribe; Apharsachites, Apharasthchites.; (Aramaic) or אֲפַרְסַתְכַי; (Aramaic), of foreign origin (only in the plural)
672	אֶפְרָת	ʼEphrâth	ef-rawth'	x-pn		Ephrath, another name for Bethlehem;; once (Psalm 132:6) perhaps for Ephraim; also of an Israelitish woman; Ephrath, Ephratah.; or אֶפְרָתָה; from <a href='/Strongs/strongs-h6509' onclick='return ABMM("/Strongs","/strongs-h6509");'>h6509</a> (פָּרָה); fruitfulness
673	אֶפְרָתִי	ʼEphrâthîy	ef-rawth-ee'	x-pn	Adjective	an Ephrathite or an Ephraimite; Ephraimite, Ephrathite.; patrial from <a href='/Strongs/strongs-h672' onclick='return ABMM("/Strongs","/strongs-h672");'>h672</a> (אֶפְרָת)
674	אַפְּתֹם	ʼappᵉthôm	ap-pe-thome'	arc	Noun Masculine	revenue; others at the last; revenue.; (Aramaic) of Persian origin
675	אֶצְבּוֹן	ʼEtsbôwn	ets-bone'	x-pn	Proper Name Masculine	Etsbon, the name of two Israelites; Ezbon.; or אֶצְבֹּן; of uncertain derivation
676	אֶצְבַּע	ʼetsbaʻ	ets-bah'	heb	Noun Feminine	something to sieze with, i.e. a finger; by analogy, a toe; finger, toe.; from the same as <a href='/Strongs/strongs-h6648' onclick='return ABMM("/Strongs","/strongs-h6648");'>h6648</a> (צֶבַע) (in the sense of grasping)
677	אֶצְבַּע	ʼetsbaʻ	ets-bah'	arc	Noun Feminine	{something to sieze with, i.e. a finger; by analogy, a toe}; finger, toe.; (Aramaic) corresponding to <a href='/Strongs/strongs-h676' onclick='return ABMM("/Strongs","/strongs-h676");'>h676</a> (אֶצְבַּע)
678	אָצִיל	ʼâtsîyl	aw-tseel'	heb	Noun Masculine	an extremity (Isaiah 41:9), also a noble; chief man, noble.; from <a href='/Strongs/strongs-h680' onclick='return ABMM("/Strongs","/strongs-h680");'>h680</a> (אָצַל) (in its secondary sense of separation)
679	אַצִּיל	ʼatstsîyl	ats-tseel'	heb	Noun Feminine	a joint of the hand (i.e. knuckle); also (according to some) a party-wall (Ezekiel 41:8); (arm) hole, great.; from <a href='/Strongs/strongs-h680' onclick='return ABMM("/Strongs","/strongs-h680");'>h680</a> (אָצַל) (in its primary sense of uniting)
680	אָצַל	ʼâtsal	aw-tsal'	heb	Verb	to separate; hence, to select, refuse, contract; keep, reserve, straiten, take.; a primitive root; properly, to join; used only as a denominative from <a href='/Strongs/strongs-h681' onclick='return ABMM("/Strongs","/strongs-h681");'>h681</a> (אֵצֶל)
681	אֵצֶל	ʼêtsel	ay'-tsel	heb	Noun Masculine	a side; (as a preposition) near; at, (hard) by, (from) (beside), near (unto), toward, with. See also <a href='/Strongs/strongs-h1018' onclick='return ABMM("/Strongs","/strongs-h1018");'>h1018</a> (בֵּית הָאֵצֶל).; from <a href='/Strongs/strongs-h680' onclick='return ABMM("/Strongs","/strongs-h680");'>h680</a> (אָצַל) (in the sense of joining)
682	אָצֵל	ʼÂtsêl	aw-tsale'	x-pn	Proper Name Location	Atsel, the name of an Israelite, and of a place in Palestine; Azal, Azel.; from <a href='/Strongs/strongs-h680' onclick='return ABMM("/Strongs","/strongs-h680");'>h680</a> (אָצַל); noble
683	אֲצַלְיָהוּ	ʼĂtsalyâhûw	ats-al-yaw'-hoo	x-pn	Proper Name Masculine	Atsaljah, an Israelite; Azaliah.; from <a href='/Strongs/strongs-h680' onclick='return ABMM("/Strongs","/strongs-h680");'>h680</a> (אָצַל) and <a href='/Strongs/strongs-h3050' onclick='return ABMM("/Strongs","/strongs-h3050");'>h3050</a> (יָהּ) prolonged; Jah has reserved
684	אֹצֶם	ʼÔtsem	o'-tsem	x-pn	Proper Name Masculine	Otsem, the name of two Israelites; Ozem.; from an unused root probably meaning to be strong; strength (i.e. strong)
685	אֶצְעָדָה	ʼetsʻâdâh	ets-aw-daw'	heb	Noun Feminine	properly, a step-chain; by analogy, a bracelet; bracelet, chain.; a variation from <a href='/Strongs/strongs-h6807' onclick='return ABMM("/Strongs","/strongs-h6807");'>h6807</a> (צְעָדָה)
686	אָצַר	ʼâtsar	aw-tsar'	heb	Verb	to store up; (lay up in) store, [phrase] (make) treasure(-r).; a primitive root
687	אֶצֶר	ʼEtser	ay'-tser	x-pn	Proper Name Masculine	Etser, an Idumaean; Ezer.; from <a href='/Strongs/strongs-h686' onclick='return ABMM("/Strongs","/strongs-h686");'>h686</a> (אָצַר); treasure
688	אֶקְדָּח	ʼeqdâch	ek-dawkh'	heb	Noun Masculine	burning, i.e. a carbuncle or other fiery gem; carbuncle.; from <a href='/Strongs/strongs-h6916' onclick='return ABMM("/Strongs","/strongs-h6916");'>h6916</a> (קִדָּה)
689	אַקּוֹ	ʼaqqôw	ak-ko'	heb	Noun Masculine	slender, i.e. the ibex; wild goat.; probably from <a href='/Strongs/strongs-h602' onclick='return ABMM("/Strongs","/strongs-h602");'>h602</a> (אָנַק)
690	אֲרָא	ʼărâʼ	ar-aw'	x-pn	Proper Name Masculine	Ara, an Israelite; Ara.; probably for <a href='/Strongs/strongs-h738' onclick='return ABMM("/Strongs","/strongs-h738");'>h738</a> (אֲרִי); lion
691	אֶרְאֵל	ʼerʼêl	er-ale'	heb	Noun Masculine	a hero (collectively); valiant one.; probably for <a href='/Strongs/strongs-h739' onclick='return ABMM("/Strongs","/strongs-h739");'>h739</a> (אֲרִיאֵל)
692	אַרְאֵלִי	ʼArʼêlîy	ar-ay-lee'	x-pn	Proper Name Masculine	Areli (or an Arelite, collectively), an Israelite and his descendants; Areli, Arelites.; from <a href='/Strongs/strongs-h691' onclick='return ABMM("/Strongs","/strongs-h691");'>h691</a> (אֶרְאֵל); heroic
693	אָרַב	ʼârab	aw-rab'	heb	Verb	to lurk; (lie in) ambush(-ment), lay (lie in) wait.; a primitive root
694	אֲרָב	ʼĂrâb	ar-awb'	x-pn	Proper Name Location	Arab, a place in Palestine; Arab.; from <a href='/Strongs/strongs-h693' onclick='return ABMM("/Strongs","/strongs-h693");'>h693</a> (אָרַב); ambush
695	אֶרֶב	ʼereb	eh'-reb	heb	Noun Masculine	ambuscade; den, lie in wait.; from <a href='/Strongs/strongs-h693' onclick='return ABMM("/Strongs","/strongs-h693");'>h693</a> (אָרַב)
696	אֹרֶב	ʼôreb	o'-reb	heb	Noun Masculine	{ambuscade}; wait.; the same as <a href='/Strongs/strongs-h695' onclick='return ABMM("/Strongs","/strongs-h695");'>h695</a> (אֶרֶב)
697	אַרְבֶּה	ʼarbeh	ar-beh'	heb	Noun Masculine	a locust (from its rapid increase); grasshopper, locust.; from <a href='/Strongs/strongs-h7235' onclick='return ABMM("/Strongs","/strongs-h7235");'>h7235</a> (רָבָה)
698	אׇרֳבָה	ʼorŏbâh	or-ob-aw'	heb	Noun Feminine	ambuscades; spoils.; feminine of <a href='/Strongs/strongs-h696' onclick='return ABMM("/Strongs","/strongs-h696");'>h696</a> (אֹרֶב) (only in the plural)
699	אֲרֻבָּה	ʼărubbâh	ar-oob-baw'	heb	Noun Feminine	a lattice; (by implication) a window, dovecot (because of the pigeon-holes), chimney (with its apertures for smoke), sluice (with openings for water); chimney, window.; feminine participle passive of <a href='/Strongs/strongs-h693' onclick='return ABMM("/Strongs","/strongs-h693");'>h693</a> (אָרַב) (as if for lurking)
700	אֲרֻבּוֹת	ʼĂrubbôwth	ar-oob-both	x-pn	Proper Name Location	Arubboth, a place in Palestine; Aruboth.; plural of <a href='/Strongs/strongs-h699' onclick='return ABMM("/Strongs","/strongs-h699");'>h699</a> (אֲרֻבָּה)
701	אַרְבִּי	ʼArbîy	ar-bee'	x-pn	Adjective	an Arbite or native of Arab; Arbite.; patrial from <a href='/Strongs/strongs-h694' onclick='return ABMM("/Strongs","/strongs-h694");'>h694</a> (אֲרָב)
702	אַרְבַּע	ʼarbaʻ	ar-bah'	heb		four; four.; masculine אַרְבָּעָה; from <a href='/Strongs/strongs-h7251' onclick='return ABMM("/Strongs","/strongs-h7251");'>h7251</a> (רָבַע)
703	אַרְבַּע	ʼarbaʻ	ar-bah'	arc		{four}; four.; (Aramaic) corresponding to <a href='/Strongs/strongs-h702' onclick='return ABMM("/Strongs","/strongs-h702");'>h702</a> (אַרְבַּע)
704	אַרְבַּע	ʼArbaʻ	ar-bah'	x-pn	Proper Name Masculine	Arba, one of the Anakim; Arba.; the same as <a href='/Strongs/strongs-h702' onclick='return ABMM("/Strongs","/strongs-h702");'>h702</a> (אַרְבַּע)
705	אַרְבָּעִים	ʼarbâʻîym	ar-baw-eem'	heb		forty; -forty.; multiple of <a href='/Strongs/strongs-h702' onclick='return ABMM("/Strongs","/strongs-h702");'>h702</a> (אַרְבַּע)
706	אַרְבַּעְתַּיִם	ʼarbaʻtayim	ar-bah-tah'-yim	heb	Adverb	fourfold; fourfold.; dual of <a href='/Strongs/strongs-h702' onclick='return ABMM("/Strongs","/strongs-h702");'>h702</a> (אַרְבַּע)
707	אָרַג	ʼârag	aw-rag'	heb	Verb	to plait or weave; weaver(-r).; a primitive root
708	אֶרֶג	ʼereg	eh'-reg	heb	Noun Masculine	a weaving; a braid; also a shuttle; beam, weaver's shuttle.; from <a href='/Strongs/strongs-h707' onclick='return ABMM("/Strongs","/strongs-h707");'>h707</a> (אָרַג)
709	אַרְגֹּב	ʼArgôb	ar-gobe'	x-pn		Argob, a district of Palestine; Argob.; from the same as <a href='/Strongs/strongs-h7263' onclick='return ABMM("/Strongs","/strongs-h7263");'>h7263</a> (רֶגֶב); stony
710	אַרְגְּוָן	ʼargᵉvân	arg-ev-awn'	heb	Noun Masculine	purple; purple.; a variation for <a href='/Strongs/strongs-h713' onclick='return ABMM("/Strongs","/strongs-h713");'>h713</a> (אַרְגָּמָן)
711	אַרְגְּוָן	ʼargᵉvân	arg-ev-awn'	arc	Noun Masculine	{purple}; purple.; (Aramaic) corresponding to <a href='/Strongs/strongs-h710' onclick='return ABMM("/Strongs","/strongs-h710");'>h710</a> (אַרְגְּוָן)
