# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 2203647     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Hebrew word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
23	אֲבִיאָסָף	ʼĂbîyʼâçâph	ab-ee-aw-sawf'	x-pn	Proper Name Masculine	Abiasaph, an Israelite; Abiasaph.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h622' onclick='return ABMM("/Strongs","/strongs-h622");'>h622</a> (אָסַף); father of gathering (i.e. gatherer)
24	אָבִיב	ʼâbîyb	aw-beeb'	heb	Noun Masculine	green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan; Abib, ear, green ears of corn (not maize).; from an unused root (meaning to be tender)
25	אֲבִי גִבְעוֹן	ʼĂbîy Gibʻôwn	ab-ee' ghib-one'	x-pn	Proper Name Masculine	Abi-Gibon, perhaps an Israelite; father of Gibeon.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h1391' onclick='return ABMM("/Strongs","/strongs-h1391");'>h1391</a> (גִּבְעוֹן); father (i.e. founder) of Gibon
26	אֲבִיגַיִל	ʼĂbîygayil	ab-ee-gah'-yil	x-pn	Proper Name Feminine	Abigail or Abigal, the name of two Israelitesses; Abigal.; or shorter אֲבִיגַל; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h1524' onclick='return ABMM("/Strongs","/strongs-h1524");'>h1524</a> (גִּיל); father (i.e. source) of joy
27	אֲבִידָן	ʼĂbîydân	ab-ee-dawn'	x-pn	Proper Name Masculine	Abidan, an Israelite; Abidan.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h1777' onclick='return ABMM("/Strongs","/strongs-h1777");'>h1777</a> (דִּין); father of judgment (i.e. judge)
28	אֲבִידָע	ʼĂbîydâʻ	ab-ee-daw'	x-pn	Proper Name Masculine	Abida, a son of Abraham by Keturah; Abida, Abidah.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h3045' onclick='return ABMM("/Strongs","/strongs-h3045");'>h3045</a> (יָדַע); father of knowledge (i.e. knowing)
29	אֲבִיָּה	ʼĂbîyâh	ab-ee-yaw'	x-pn	Proper Name Masculine	Abijah, the name of several Israelite men and two Israelitesses; Abiah, Abijah.; or prolonged אֲבִיָּהוּ ; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h3050' onclick='return ABMM("/Strongs","/strongs-h3050");'>h3050</a> (יָהּ); father (i.e. worshipper) of Jah
30	אֲבִיהוּא	ʼĂbîyhûwʼ	ab-ee-hoo'	x-pn	Proper Name Masculine	Abihu, a son of Aaron; Abihu.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h1931' onclick='return ABMM("/Strongs","/strongs-h1931");'>h1931</a> (הוּא); father (i.e. worshipper) of Him (i.e. God)
31	אֲבִיהוּד	ʼĂbîyhûwd	ab-ee-hood'	x-pn	Proper Name Masculine	Abihud, the name of two Israelites; Abihud.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h1935' onclick='return ABMM("/Strongs","/strongs-h1935");'>h1935</a> (הוֹד); father (i.e. possessor) of renown
32	אֲבִיהַיִל	ʼĂbîyhayil	ab-ee-hah'-yil	x-pn	Proper Name Masculine	Abihail or Abichail, the name of three Israelites and two Israelitesses; Abihail.; or (more correctly) אֲבִיחַיִל ; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h2428' onclick='return ABMM("/Strongs","/strongs-h2428");'>h2428</a> (חַיִל); father (i.e. possessor) of might
