# File Name: Greek_Lexicon_Strongs.txt
# File Size: 1571461     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Greek
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Greek word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
21	ἀγαλλιάω	agalliáō	ag-al-lee-ah'-o	greek	Verb	properly, to jump for joy, i.e. exult; be (exceeding) glad, with exceeding joy, rejoice (greatly); from agan (much) and <a href='/Strongs/strongs-g242' onclick='return ABMM("/Strongs","/strongs-g242");'>g242</a> (ἅλλομαι)
22	ἄγαμος	ágamos	ag'-am-os	greek	Adjective	unmarried; unmarried; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as a negative particle) and <a href='/Strongs/strongs-g1062' onclick='return ABMM("/Strongs","/strongs-g1062");'>g1062</a> (γάμος)
23	ἀγανακτέω	aganaktéō	ag-an-ak-teh'-o	greek	Verb	akin to the base of <a href='/Strongs/strongs-g43' onclick='return ABMM("/Strongs","/strongs-g43");'>g43</a> (ἀγκάλη)); to be greatly afflicted, i.e. (figuratively) indignant; be much (sore) displeased, have (be moved with, with) indignation; from (much) and (grief
24	ἀγανάκτησις	aganáktēsis	ag-an-ak'-tay-sis	greek	Noun Feminine	indignation; indignation; from <a href='/Strongs/strongs-g23' onclick='return ABMM("/Strongs","/strongs-g23");'>g23</a> (ἀγανακτέω)
25	ἀγαπάω	agapáō	ag-ap-ah'-o	greek	Verb	to love (in a social or moral sense); (be-)love(-ed); perhaps from (much) (or compare <a href='/Strongs/strongs-g5368' onclick='return ABMM("/Strongs","/strongs-g5368");'>g5368</a>)
26	ἀγάπη	agápē	ag-ah'-pay	greek	Noun Feminine	love, i.e. affection or benevolence; specially (plural) a love-feast; (feast of) charity(-ably), dear, love; from <a href='/Strongs/strongs-g25' onclick='return ABMM("/Strongs","/strongs-g25");'>g25</a> (ἀγαπάω)
27	ἀγαπητός	agapētós	ag-ap-ay-tos'	greek	Adjective	beloved; (dearly, well) beloved, dear; from <a href='/Strongs/strongs-g25' onclick='return ABMM("/Strongs","/strongs-g25");'>g25</a> (ἀγαπάω)
28	Ἄγαρ	Ágar	ag'-ar	greek	Proper Name Feminine	Hagar, the concubine of Abraham; Hagar; of Hebrew origin (<a href='/Strongs/strongs-h1904' onclick='return ABMM("/Strongs","/strongs-h1904");'>h1904</a>)
29	ἀγγαρεύω	angareúō	ang-ar-yew'-o	greek	Verb	properly, to be a courier, i.e. (by implication) to press into public service; compel (to go); of foreign origin (compare <a href='/Strongs/strongs-h104' onclick='return ABMM("/Strongs","/strongs-h104");'>h104</a>)
30	ἀγγεῖον	angeîon	ang-eye'-on	greek	Noun Neuter	compare the base of <a href='/Strongs/strongs-g43' onclick='return ABMM("/Strongs","/strongs-g43");'>g43</a> (ἀγκάλη)); a receptacle; vessel; from (a pail, perhaps as bent
